no.	pun	target	pun phon	target phon	idiomaticity	page no.	grammaticality	remark	dialect	POS pun	POS target	x	sum cost	sum/phon.	stress shift	syllable no.
244	gulch	gulls	g^lC	g^lz	_def.	103	ne	no 2nd script		NN1	NN2		1	0.25		
245	gulp	gulf	g^lp	g^lf	coll. gulf of Mexico	103	B			NN1	NN1	I	0.21	0.0525		
246	hail	hell	h4l	hEl		105	ne		Southern	NN1	NN1		0.26	0.086666666		
247	halo	hello	h4l5	hEl5	idiom hello there	106	T	greeting hello		NN1	ITJ	I+	0.26	0.065		
248	ham	am	h&m	.&m	idiom I am what I am	106	T			NN1	VBB	Q+	0.08	0.026666667		
249	hamlet	omelette	h&ml0t	.aml0t	_def.	106	ne			NN1	NN1		0.31	0.051666666		
250	harmony	hominy	harm0nI	ha.m0nI	_def.	107	ne			NN1	NN1		0.03	0.004285714		
251	hartebeest	heartbeat	har?0bist	hart.bi.t	idiom only a heartbeat away	108	B			NN1	NN1	E+	0.33	0.036666665		
252	helm	hem	hElm	hE.m	coll. hem and haw	110	T			NN1	VVI	B	0.06	0.015		
253	hornet	cornet	hOrn0t	kOrn0t		245	B	see vile		NN1	NN1		0.34	0.05666667		
254	horse	house	hOrs	h2.s	proverb a house divided against itself	113	ne			NN1	NN1	E+	0.33	0.0825		
255	hyena	high in a	h1in0	h1In0		115	T			NN1	AVO PRP AT0		0.1	0.02	l	
256	icon	acorn	1ka.n	4kOrn	_def.	117	ne			NN1	NN1		0.55	0.11		
257	icon	hike on	.1kan	h1kan		117	T			NN1	VVB AVP		0.07	0.014		
258	iguana	I ('m) gonna	Igwan0	1mgan0		117	T	very distant, but syntactic requirements make the S V very recoverable		NN1	PNP VBB VMI TO0		1.94	0.32333332		
259	incest	insist	InsEst	InsIst	idiom well, if you insist	118	T			NN1	VVB	I+	0.21	0.035	e	
260	ingot	in God	Ingat	Ingad	idiom in god we trust	119	T			NN1	PRP NN1	Q+	0.11	0.022	e	
261	jacket	Jack ate	J&k0t	J&kEt		123	T			NN1	NP0 VVD		0.23	0.046	e	
262	jeep	cheep	Jip	Cip		124	T			NN1	AJ0		0.18	0.06		
263	jest	just	JEst	J^st		124	T			NN1	AV0		0.29	0.0725		
264	jigsaw	rickshaw	JIgsO	rIkSO	_def.	125	ne			NN1	NN1		0.65	0.13		
265	jog	jug	Jag	J^g	_def.	125	B	2nd script?		NN1	NN1		0.21	0.07		
266	juice	Jews	Jus	Juz	_def.	126	ne			NN1	NP0		0.07	0.023333333		
267	kalpa	calliper	k&l.p0.	k&lIp0r		128	ne	what?		NN1	NN1		0.15	0.021428572		-1
268	kangaroo	can grew	k&Ng0ru	k&Ng.ru		128	T			NN1	NN1 VVD		0.04	0.0057142857		1
269	kibbitz	kibbutz	kIbIts	kIbuts		129	ne		Hebrew/Yiddish	NN1	NN1		0.29	0.048333332		
270	kindle	candle	kInd0l	k&nd0l	_def.	129	ne		Yiddish	NN1	NN1		0.28	0.046666667		
271	kirsch	curse	k9rS	k9rs	_def.	130	ne			NN1	NN1		0.09	0.0225		
272	kitchen	catching	kIC0n	k&C0n	phrasal verb catch up	130	T			NN1	VVG	P+	0.28	0.056		
273	Latin	lettin'	l&?In	lE?In		134	T			NN1	VVG		0.19	0.038		
274	lava	lover	lav0.	lav0r	title lover come back to me	134	ne			NN1	PNP VHB PNP	Q+	0.04	0.008		
275	ledger	let your	lEJ0r	lEC0r	idiom let yourself go	136	T			NN1	VVB DPS	I+	0.18	0.036		
276	leprechaun	leprosy	lEpr0kOn	lEpr0sI.	_def.	136	ne			NN1	NN1		0.67	0.08375		
277	lessee	let's see	lE.si	lEtsi		136	T			NN1	VMB PNP VVI		0.07	0.014		
278	ligature	look what you're	lIg.0C0r	lUkw0C0r		138	T			NN1	VVB AVQ PNP VBB		0.52	0.065		
279	litmus	lit mouse	lItm0s	lItm2s	_def.	140	ne			NN1	AJ0 NN1		0.29	0.048333332		
280	lizard	wizard	lIz0rd	wIz0rd	title the electrical wizard	140	B			NN1	NN1	Q+	0.44	0.07333333		
281	locust	low curse	l5k0.st	l5k9rs.	_def.	141	ne			NN1	AJ0 NN1		0.4	0.057142857	e	
282	lorry	sorry	larI	sarI	title who's sorry now	142	T			NN1	AJ0	Q+	0.66	0.165		
283	magnet	maggot	m&gn0t	m&g.0t	_def.	145	B	what a crappy pun, no 2nd script		NN1	NN1		0.1	0.016666668		
284	malice	Alice	m&lIs	.&lIs	title Alice in Wondeland	145	B			NN1	NP0	Q+	0.14	0.028		
285	mandolin	Mandarin	m&nd0lIn	m&nd0rIn		146	ne		Chinese?	NN1	NN1		0.11	0.01375		
286	marijuana	marry one	m&rIwan0	m&rIw^n.	_def.	146	T			NN1	VVB PN1		0.25	0.03125	l	1
287	marmot	mum ought	marm0t	m^.mOt	_def.	147	T			NN1	NN1 VMD		0.49	0.08166666		
288	mastodon	mustard on	m&st0.dan	m^st0rdan		147	T			NN1	NN1 PRP		0.31	0.034444444		
289	May	day	m4	d4	idiom rare as a day in June	147	B			NN1	NN1	E+	0.66	0.33		
290	mizzen	missin'	mIz0n	mIs0n		151	T			NN1	VVG		0.07	0.014		
291	momentum	memento	m5mEn?0m	m0mEn?5.	_def.	151	ne			NN1	NN1		0.62	0.0775		
292	monastery	monstery	man0st7rI	man.st0rI	_def.	152	ne			NN1	NN1		0.33	0.036666665		1
293	mongoose	man-goose	maNgus	m&ngus		152	B			NN1	NN1		0.37	0.061666667		
294	moose	must	mus	m^s		152	T			NN1	VMB		0.28	0.093333334		
295	mortarfied	mortified	mOrtarf1d	mOr?I.f1d		153	T			NN1	AJ0		0.48	0.053333335		
296	moth	must	maT	m^s		153	T	please!		NN1	VM0		0.32	0.10666667		
297	mulch	much	m^lC	m^.C	idiom too much of a ...	154	T			NN1	AV0	E+	0.06	0.015		
298	muzzle	ma will	m^z0l	m^wIl		155	T			NN1	NN1 VMB		1	0.2	e	
299	newt	knew it	nu.t	nuIt	idiom noone knew	159	T			NN1	VVD PNP	I+	0.11	0.0275		-1
300	ninny	nanny	nInI	n&nI	_def.	159	ne			NN1	NN1		0.28	0.07		
301	ocelot	owes a lot	as0l0t	5z0lat		164	T			NN1	VVZ AT0 AJ0		0.58	0.096666664		
302	oil	I'll	3l	1l		165	T			NN1	PNP AM0		0.28	0.14		
303	omelet	amulet	am..l0t	&mjul0t	_def.	165	ne			NN1	NN1		1.27	0.18142857		
304	onomatopoeia	I don't want to pee	an0m&?0pi0	ad0wan0pi.	_def.	165	T			NN1	PNP VDB XX0 VVI TO0		2.65	0.265		
305	opal	hope I'll	.5p0l	h5p1l		165	T			NN1	VVB PNP VMB		0.27	0.054		
306	orgy	Porgy	.OrJI	pOrgI	title Progy and Bess	166	ne			NN1	NP0	Q+	0.68	0.136		
307	ovary	oh, very	5v0rI	5vErI		167	T			NN1	ITJ AV0		0.23	0.046	e	
308	paranoia	pair annoy you	p&r0n30	p&r0n30		169	T	homophonic		NN1	NN1 VVB PNP		0	0		
309	pasturage	past your age	p&sC0rIJ	p&sC0r4J	coll. past your age	171	T			NN1	PRP DPS NN1	I	0.28	0.035		
310	pistol	pissed till	pIst0l	pIstIl		176	T			NN1	VVD PRP		0	0	e	
311	pith	piss	pIT	pIs		177	ne		lisp	NN1	VVI		0.11	0.036666665		
312	pliers	players	pl10rz	pl40rz	_def.	178	ne			NN2	NN1		0.27	0.045		
313	possum	for some	pa.s0m	f0rs^m	idiom play possum	180	T			NN1	PRP AT0	I+	0.76	0.12666667	e	
314	psalmody	somebody	sam.0dI	s^mb0dI		184	T			NN1	NN1		0.42	0.06		
315	punishment	pun is meant	p^nISm0nt	p^nIzmEnt		185	T			NN1	NN1 VBB AV0		0.54	0.06		
316	pyorrhea	Piraeus	p10ri0.	p1.ri0s	_def.	186	ne			NN1	NP0		0.14	0.02		
317	qualm	calm	kwam	k.am	idiom the calm before the storm	188	B			NN1	NN1	E+	0.11	0.0275		
318	quondam	one damn	kwand0m	.w^nd&m	idiom one damn thing after another	189	T			NN1	AT0 AVO	I+	0.55	0.07857143		
319	are rapier	are happier	0r.4pi0r	0rh&pi0r		192	T			NN1	VBB AV0		0.34	0.0425		
320	reaper	ripper	rip0r	rIp0r	title Jack the Ripper	192	B			NN1	NN1	Q+	0.1	0.02		
321	rectangle	wrecked ankle	rEkt&Ng0l	rEkt&Nk0l	_def.	193	ne			NN1	AJ0 NN1		0.1	0.011111111	e	
322	reefers	refers	rif0rz	rIf9rz	_def.	194	T			NN2	VBZ		0.39	0.065	e	
323	reeling	reading	rilIN	ridIN	coll. reading and writing	257	B	see writhe		NN1	NN1	B	0.34	0.068		
324	refugee	referee	rEfjUJi	rEf.0ri	_def.	194	ne			NN1	NN1		0.77	0.11		
325	ribaldry	rivalry	rIb0ldrI	rIv0l.rI	coll. sibling rivalry	197	B			NN1	NN1	R	0.29	0.03625		
326	ricochet	rickshaw	rIk0S4	rIk.SO	_def.	197	ne			NN1	NN1		0.33	0.055		1
327	rust	rushed	r^st	r^St		119	T	see indigo		NN1	VVN		0.17	0.0425		
328	safari	so far	s0farI	s5far.	idiom so far so good	201	T			NN1	AVO AVO	E+	0.35	0.058333334		
329	salmon	summon	sam0n	s^m0n	idiom summon one's strength	202	T			NN1	VVI	I+	0.21	0.042		
330	scrawl	call	skrOl	.k.Ol	title the call of the wild (London)	204	B			NN1	NN1	Q+	0.11	0.022		
331	script	stripped	skrIpt	strIpt		205	T			NN1	VVN		0.14	0.023333333		
332	sediment	said he meant	sEd0m0nt	sEdimEnt	_def.	205	ne			NN1	VVD PNP VVD		0.49	0.06125		
333	semaphore	same before	sEm.0fOr	s4mb0fOr	_def.	206	ne			NN1	PN1 AV0		0.49	0.06125		
334	seminary	cemetary	sEm0n7rI	sEm0t7rI	_def.	206	ne			NN1	NN1		0.34	0.0425		
335	senator	centaur	sEn0t0r	sEn.tOr	_def.	206	ne			NN1	NN1		0.29	0.04142857		1
336	shasta	she has to	S.&st0	Si&st0		208	T			NN1	PNP VMZ TO0		0.29	0.048333332		-1
337	shiver	she ever	SI.v0r	SiEv0r		209	T			NN1	PNP AV0		1.15	0.19166666	e	
338	shofar	so far	S5f0r	s5far		209	T			NN1	AV0		0.35	0.07		
339	short	shore	SOrt	SOr.	coll. ship-to-shore radio	210	B	only morpheme		NN1	NN1	R	0.07	0.0175		
340	short	shot	SOrt	Sa.t	quote and fired the shot heard round the world	210	B			NN1	NN1	Q+	0.28	0.07		
341	shotgun	shogun	Satg^n	S5.g^n		210	ne			NN1	NN1		0.32	0.053333335		
342	simile	smile	sIm0li	s.m1l.	_def.	211	ne			NN1	NN1		0.43	0.071666665		2
343	smelt	smelled	smElt	smEld		213	T			NN1	VVD		0.11	0.022		
344	soda	so the	s5d0	s5D0		214	T			NN1	CJC AT0		0.05	0.0125		
345	Sodom	saw them	sad0m	sOD0m		214	T			NN1	VVD PNP		0.29	0.058		
346	soiree	sorry	swar4	s.arI	proverb love is never having to say you're sorry	215	T			NN1	AJ0	S+	0.39	0.078	l	
347	sophomore	sell for more	sa.f0mOr	sElf0mOr	idiom sell for more	215	T			NN1	VVB PNP AJC	I+	0.35	0.04375		
348	speculator	escalator	spE.kj0l4?0r	..Esk.0l4?0r	_def.	216	ne	this could be Red plus Lin violation		NN1	NN1		0.44	0.036666665		
349	stern	stone	st9rn	st5.n	coll. Rolling Stones	219	ne			NN1	NN1	R	0.32	0.064		
350	strumpet	strum pet	str^mpIt	str^mpIt	_def.	221	ne	homophonic		NN1	NN0 NN1		0	0		
351	summons	someone's	s^m.0nz	s^mw^nz		222	T			NN2	PNP POS		0.4	0.057142857		
352	T.b.	to be	tibi	t0bi	quote to be or not to be	54	B			NN1	TO0 VBB	Q+	0.24	0.06		
353	tantrum	tandem	t&ntr0m	t&nd.0m	_def.	226	B			NN1	NN1		0.14	0.02		
354	termite	their might	t9rm1t	D7rm1t	coll. with all one's might	229	ne			NN1	DPS NN1	I	0.47	0.07833333	e	
355	throat	throw it	Tr5.t	Tr5It	idiom throw it out	230	T			NN1	VVB PNP	I+	0.11	0.022		-1
356	ticket	thicket	tIk0t	TIk0t		231	ne		lisp?	NN1	NN1		0.18	0.036		
357	toboggan	to bargain	t0ba.g0n	t0barg0n	_def.	232	ne			NN1	TO0 VVI		0.04	0.005		
358	tog	tug	tag	t^g	idiom tug of war	233	ne			NN1	NN1	I+	0.21	0.07		
359	togs	dogs	tagz	dagz	coll. mad dogs	232	ne			NN2	NN2	C	0.11	0.0275		
360	bit tonsure	bit unsure	bItanS0r	bIt^nS8r	idiom a bit unsure of oneself	233	T			NN1	AV0 AJ0	E+	0.51	0.06375		
361	trial	try all	tr10l	tr1Ol		235	T			NN1	VVI AV0		0.25	0.05	e	
362	trout	out	tr2t	..2t		236	T			NN1	AVP		0.1	0.025		
363	urchin	urgin'	9rCIn	9rJIn	coll. urge someone on	240	T			NN1	VVG	P	0.2	0.04		
364	urination	you're a nation	jUr0n4S0n	j8r0n4S0n	idiom you're a nation of ...	240	T			NN1	PNP VBB AT0 NN1	Q+	0.29	0.032222223		
365	V	we	vi	wi	idiom where do we go from here	242	T			NN1	NN1	I+	0.08	0.04		
366	van	when	v&n	wEn		242	T	nothing else would be ok syntactically		NN1	AVQ		0.27	0.09		
367	vanilla	Manilla	v0nIl0	m0nIl0	_def.	242	ne			NN1	NP0		1	0.16666667		
368	vast	last	v&st	l&st	title the last of the Mohican	243	T			NN1	NN1	Q+	0.44	0.11		
369	veal	feel	vil	fil	idiom only as young as you feel	243	T			NN1	VVB	E+	0.17	0.05666667		
370	vermilion	million	v0rmIlj0n	...mIlj0n		118	T	see indigo		NN1	NN1		0.41	0.045555554		1
371	version	virgin	v9rZ0n	v9rJ0n		244	ne			NN1	NN1		0.31	0.051666666		
372	viscount	why count	v1k2nt	w1k2nt		246	T			NN1	AVQ VVB		0.08	0.013333334		
373	vodka	what ca(n)	vadk0	watk0		199	T	see rum		NN1	AVQ VMB		0.17	0.034		
374	wafer	wait for	w4.f0r	w4tf0r	idom swallow one and wait for results	248	T			NN1	VVB AVP	I	0.07	0.011666667		
375	whittler	Hitler	wItl0r	hItl0r	coll. Heil Hitler	252	ne			NN1	NP0	F	0.38	0.06333333		
376	wiener	when are	win0r	wEn0r		253	T			NN1	AVQ VBB		0.28	0.056		
377	wimble	nimble	wImb0l	nImb0l	quote Jack be nimble, Jack be quick ...	253	T			NN1	AJ0	Q+	0.52	0.086666666		
378	wind	when d(o)	wInd	wEnd	idiom run out of wind	254	T			NN1	AVQ VDB	E+	0.2	0.05		
379	wretched	Richard	rECI.d	rIC0rd	coll. Richard the Lionhearted	256	B			NN1	NP0	I	0.26	0.043333333		
380	writhing	writing	r1DIN	r1?IN	coll. reading and writing	257	B			NN1	NN1	B	1	0.2		
381	yacht	he ought	j.at	hiOt		258	T			NN1	PNP VMB		0.97	0.2425		-1
382	yarn	you're on	jar.n	j8ran	idiom you're on the wrong track	259	T			NN1	PNP VBB AVP	E+	0.95	0.19		-1
383	yelp	help	jElp	hElp	coll. helpless	259	B	just morpheme		NN1	NN1	R	0.44	0.11		
384	yokel	yodel	j5k0l	j5d0l	_def.	260	ne			NN1	VVI		0.34	0.068		
385	zend	send	zEnd	sEnd		261	T	what?		VVN	VVN		0.07	0.0175		
386	zinc	sink	zINk	sINk	_def.	262	ne			NN1	NN1		0.07	0.0175		
387	zombie	some be	zambi	s^mbi		262	T			NN1	PNP VBB		0.28	0.056		
388	zounds	sounds	z2ndz	s2ndz	_def.	262	ne	what?		NN2	NN2		0.07	0.014		
389	poplar	popular	pOp..l0r	pOpj0l0r		17	T	see aspen		NN1	AJ0		0	0		-1
390	alder	all the	Old0r	0ld0.	coll. all the time	17	T	see aspen		NN1	AV0 AT0	I	0.3	0.06		
391	nutmeg	not make	natmEg	nOtm4k		54	T	see consecrated		NN1	XX0 VVB		0	0	e	
392	camphor	came for	k&mf0r	k4mfOr		54	T	see consecrated		NN1	VVD AVP		0	0		
393	sulphur	sell for	salf0r	sElfOr		54	T	see consecrated		NN1	VVB AVP		0	0		
394	cinnamon	seen a man	sIn0m0n	sin0m&n		54	T	see consecrated		NN1	VVN AT0 NN1		0	0	e	
395	ammonia	I'm only a	&m5n.6	1m5nl6		54	T	see consecrated		NN1	PNP VBB AV0 AT0		0	0		
396	hair	heir	h&r	.ir	coll. heir apparent	106	ne			NN1	NN1	R	0	0		
397	pun	pen	pan	pEn	idiom put pen to paper	124	B	see jest		NN1	NN1	E+	0	0		
398	beer	be or	bi.r	biOr		199	T	see rum		NN1	AV0 CJC		0	0		-1
399	water	what do	wOd0r	wOt0.		199	T	see rum		NN1	AVQ VDB		0	0		
400	wine	why	w1n	w1.		199	T	see rum		NN1	AVQ		0	0		1
401	martini	are tiny	martini	.art1nI		199	T	see rum		NN1	VBB AV0		0	0		
402	chianti	can't you	kj&nt.I	k.&ntjU		199	T	see rum		NN1	VM0 XX0 PNP		0	0	l	
403	sop horrific	soporific	saph0rIfIk	sap.0rIfIk		215	B			NN1 AV0	NN1		0	0		
404	tryer	cryer	tr10r	kr10r	coll. town cryer	236	B			NN1	NN1	R	0.16	0.032		
405	abbess	abscess	&b.0s	&bs0s		5	B			NN1	NN1		0.1	0.02		
406	admonition	ammunition	&dm.0nIS0n	&.mjunIS0n	title praise the lord and pass the ammunition	8	B			NN1	NN1	Q+	0.48	0.048		
407	allusion	illusion	0luZ0n	IluZ0n	coll. optical illusion	11	B			NN1	NN1	C	0	0		
408	ammonia	(th)em on yet	0m5nj0.	0manjEt		12	B	should it be them on, ya?		NN1	NN1 PNP AV0		0.57	0.08142857		
409	anapest	and a pest	&n0pEst	0n0pEst	idiom become a pest	13	B			NN1	CJC AT0 NN1	I+	0.23	0.032857142	e	
410	anti-skeptic	antiseptic	&n?0skEptIk	&n?0s.EptIk	coll. antispetic	212	ne	only morpheme		NN1	NN1	R	0.1	0.009090909		
411	arrival	survival	.0r.1v0l	s0rv1v0l	idiom survival of the fittest	16	B	much phon distance, but salvaged through idiom		NN1	NN1	Q+	0.27	0.03375		
412	asp	ass	&sp	&s.	idiom make an ass of oneself	17	B			NN1	NN1	E+	0.16	0.053333335		
413	baboons	bassoons	b0bunz	b0sunz		245	B	see vile		NN2	NN2		0.66	0.11		
414	barbiturate	bar bitch you ate	barbIC0rIt	barbIC0.Et		23	B	oh, what a setup		NN1	NN0 NN1 PNP		0.23	0.023		
415	bauble	bubble	bOb0l	b^b0l		25	B	what?		NN1	NN1		0.28	0.056		
416	bay	day	b4	d4	proverb every dog has his day	25	B			NN1	NN1	S+	0.21	0.105		
417	beach	peach	biC	piC		25	B	or 'bitch' [bIC], 3-way pun		NN1	NN1		0.14	0.046666667		
418	beans	beings	binz	biNz	coll. human beings	26	B			NN2	NN2	C	0.14	0.035		
419	beard	bard	b6rd	bard	coll. Bard of Avon	26	B			NN1	NN1	I	0.3	0.075		
420	biggie	buggy	bIgI	b^gI	coll. dune buggie	29	B			NN1	NN1	R	0.27	0.0675		
421	blond	blind	bland	bl1nd	coll. Venetian blind	31	B			NN1	NN1	C	0.23	0.046		
422	braid	bread	br4d	brEd	idiom cast one's bread upon the water	34	B	what?		NN1	NN1	I+	0.26	0.065		
423	braziers	brassiers	braZ0rz	br0z6rz		34	B			NN2	NN2		0.91	0.13		
424	breath	breadth	brE.T	brEdT	idiom by a hair's breadth	34	B			NN1	NN1	I+	0.09	0.018		
425	bream	dream	brim	drim	idiom dream the impossible dream	34	B	adnominatio		NN1	NN1	E+	0.21	0.0525		
426	breaths	breasts	brE.Ts	brEsts		34	B			NN2	NN2		0.3	0.05		
427	brogan	broken	br5g0n	br5k0n		36	B			NN1	AJ0		0.1	0.016666668		
428	bruise	blues	bruz	bluz		36	B		Chinese	NN1	NN1		0.13	0.0325		
429	bungle	bundle	b^Ng0l	b^nd0l	idiom bundle of joy	38	B			NN1	NN1	I+	0.63	0.105		
430	butcher	bitch or	bUC0r	bIC0r		39	T			NN1	NN1 CJC		0.3	0.06		
431	can	man	k&n	m&n	title a man for all seasons	41	B			NN1	NN1	Q+	0.66	0.22		
432	carp	cart	karp	kart	idiom put the cart before the horse	43	B			NN1	NN1	E+	0.18	0.045		
433	centimeter	centipede	sEn?Imi?0r	sEn?Ipid..		45	B			NN1	NN1		0.91	0.091		1
434	chimps	chips	CImps	CI.ps	coll. fish and chips	87	B	see finch		NN2	NN2	B	0.14	0.028		
435	chintzes	chances	CIntsIz	C&n.sIz	idiom take your chances	48	B			NN2	NN2	I+	0.35	0.05		
436	clown	crown	kl2n	kr2n	quote Jack fell down and broke his crown ...	50	B			NN1	NN1	Q+	0.11	0.0275		
437	coal	cold	k5l.	k5ld	coll. a bad cold	50	B			NN1	NN1	C	0.09	0.0225		
438	colt	cold	k5lt	k5ld	idiom feed a cold and starve a fever	52	B			NN1	NN1	E+	0.11	0.0275		
439	condiment	complement	kand.Im0nt	kamplIm0nt		54	B	see consecrated		NN1	NN1		1.22	0.122		
440	congestion	question	k0nJEsC0n	k..wEsC0n	quote to be or not to be ...	54	B			NN1	NN1	Q+	0.8	0.08888889		1
441	cope	hope	k5p	h5p	proverb where there's life, there's hope	55	B			NN1	NN1	S+	0.38	0.12666667		
442	corsets	charges	kOrsIts	CarJ0z	coll. charges without foundation	56	B	Ws had corsets-causes		NN2	NN2	I	2.78	0.46333334		
443	cortege	corsage	kOrtEZ	kOrsaZ		56	B			NN1	NN1		0.73	0.12166667		
444	crab	grab	kr&b	gr&b		57	B			NN1	NN1		0.11	0.0275		
445	critic	cricket	krI?Ik	krIkIt	title cricket on the hearth (Dickens)	58	B			NN1	NN1	Q+	0.8	0.13333334		
446	cruisers	choosers	kruz0rz	C.uz0rz	idiom beggars can't be choosers	59	B			NN2	NN2	S+	0.55	0.07857143		
447	crullers	crawlers	kr^l0rz	krOl0rz	idiom night crawlers	59	B			NN2	NN2	R	0.28	0.04		
448	cub	cud	k^b	k^d	_def.	60	B			NN1	NN1		0.21	0.07		
449	curries	courage	k9rIz	k9rIJ	idiom have the courage of your conviction	60	B			NN2	NN1	I+	1	0.2		
450	curse	course	k9rs	kOrs	idiom let nature take its course	61	B			NN1	NN1	E+	0.29	0.0725		
451	delight	the light	dIl1t	D0l1t	coll. lower the light	64	B			NN1	AT0 NN1	I	0.06	0.012		
452	dependants	the pendants	dIpEnd0nts	D0pEnd0nts		65	B			NN2	AT0 NN2		0.06	0.006		
453	din	den	dIn	dEn	idiom den of iniquity	67	B			NN1	NN1	E+	0.2	0.06666667		
454	dinosaur	diner sore	d1n0.sOr	dIn0rsOr		67	B			NN1	NN1 AJ0		0.32	0.04		
455	doe	do	d5	du		68	B	what?		NN1	NN1		0.27	0.135		
456	dog	log	dag	lag	idiom throw a log on the fire	68	B	fire-log eskimo-sleddog		NN1	NN1	E+	0.44	0.14666666		
457	dowel	towel	d20l	t20l	idiom throw in the towel	69	B			NN1	NN1	E+	0.09	0.0225		
458	dram	damn	dr&m	d.&m	coll. give a damn	69	B			NN1	NN1	T	0.03	0.0075		
459	drool	drawl	drul	drOl	coll. Southern drawl	70	B			NN1	NN1	C	0.29	0.0725		
460	dung	done	d^N	d^n	title when the works all done this fall	72	B			NN1	VVN	Q+	0.19	0.06333333		
461	earl	oil	9rl	3.l	idiom pour oil on troubled water	73	B			NN1	NN1	E+	0.33	0.11		
462	ears	years	.6rz	j6rz	idiom give the best years of one's life	73	B			NN2	NN2	I+	0.09	0.0225		
463	eaves	heaves	.ivz	hivz	coll. have the heaves	74	B			NN2	NN2	T	0.07	0.0175		
464	election	erection	IlEkS0n	IrEkS0n		75	B		Chinese	NN1	NN1		0.11	0.015714286		
465	elephants	eloquence	El0f.0ns	El0kw0ns	title well-timed silence... (M. F. Tupper)	76	B			NN2	NN1	Q+	0.57	0.07125		
466	ember	amber	Emb0r	&mb0r	title Forever Amber (movie)	76	B			NN1	NN1	Q+	0.2	0.04		
467	epistle	a pistol	ipIs.0l	0pIst0l		78	B			NN1	AT0 NN1		0.31	0.044285715		
468	etch	itch	EC	IC	idiom scratch the itch	79	B			NN1	NN1	E+	0.21	0.105		
469	ether	either	iT0r	iD0r		80	B	either = pronoun		NN1	NN1		0.23	0.0575		
470	eye-deer	idea	1d6r	1d6.	coll. interesting idea	81	B			NN1	NN1	C	0.03	0.0075		
471	fart	part	fart	part	idiom part and parcel	84	B			NN1	NN1	B+	0.23	0.0575		
472	faucet	facet	fOsIt	f&sIt	coll. facets of emotion	84	B			NN1	NN1	I	0.29	0.058		
473	fervor	further	f9rv0r	f9rD0r	idiom so far and no further	86	B			NN1	AV0	E+	0.38	0.06333333		
474	fife	wife	f1f	w1f		86	B			NN1	NN1		0.34	0.11333334		
475	finch	fish	fInC	fI.S	coll. fish and chips	87	B			NN1	NN1	B	0.29	0.0725		
476	fissure	figure	fIS.0r	fIgj0r	quote after the figure of man (Isa 44:13)	88	B			NN1	NN1	Q+	1.09	0.18166667		
477	flies	(ha)ve eyes	fl1z	v.1z	title I only have eyes for you	90	B	1 syll lost		NN2	VHB NN1	Q+	0.2	0.05		
478	focus	hocus	f5k0s	h5k0s	coll. hocus-pocus'	90	B	non-word		NN1	NN1	R	0.52	0.104		
479	foible	fable	f3b0l	f4b0l		90	B			NN1	NN1		0.29	0.058		
480	fort	fourth	fOrt	fOrT		88	B	see fit	Black English	NN1	NN1		0.18	0.045		
481	fowl	fall	f2l	fOl	idiom fall of the law	92	B			NN1	NN1	E+	0.29	0.096666664		
482	fowl	fool	f2l	ful	proverb there's no fool like an old fool	92	B			NN1	NN1	S+	0.29	0.096666664		
483	fronds	friends	frandz	frEndz	idiom visit a sick friend	93	B			NN2	NN2	I+	0.27	0.045		
484	futility	utility	fjutIl0tI	.jutIl0tI	coll. public utility	94	B			NN1	NN1	C	0.27	0.03		
485	game	gay	g4m	g4.		95	B			NN1	AJ0		0.14	0.046666667		
486	gargoyles	gargles	garg3lz	garg0lz		96	B			NN2	NN2		0.3	0.042857144		
487	ghoul	fool	gul	ful	proverb there's no fool like an old fool	97	B	see fowl		NN1	NN1	S+	0.52	0.17333333		
488	glance	dance	gl&ns	d.&ns	idiom may I have the next dance	98	B			NN1	NN1	I+	0.5	0.1		
489	gloom	room	glum	.rum	coll. room for improvement	98	B			NN1	NN1	I	0.29	0.0725		
490	God	gard	ga.d	gard	New England	99	B			NN1	NN1		0.04	0.01		
491	gourd	word	gOrd	w9rd	quote there was never heard a discouraging word ...	100	B	what?		NN1	NN1	Q+	0.95	0.2375		
492	gripe	grape	gr1p	gr4p		102	B	what?		NN1	NN1		0.27	0.0675		
493	groin	coin	gr3n	k.3n	idiom toss a coin in the fountain	102	B			NN1	NN1	E+	0.13	0.0325		
494	grouse	gross	gr2s	gr5s	proverb you can always tell a girl is game ...	103	B	what?		NN1	AJ0	S+	0.29	0.0725		
495	hake	cake	h4k	k4k	quote let them eat cake (M. Antoinette)	106	B			NN1	NN1	Q+	0.34	0.11333334		
496	hash	haste	h&S.	h4st	proverb more speed, less haste	108	B			NN1	NN1	S+	0.43	0.1075		
497	heap	sheep	hip	Sip	proverb it doesn't take a smart girl to separate the sheep from the goats	109	B			NN1	NN1	S+	0.66	0.22		
498	heresy	hair I see	hErIsI	h7r1si	idiom hair in the soup	110	B			NN1	NN1 PNP VVB	E+	0.71	0.11833333	e	
499	hip	lip	hIp	lIp	idiom stiff upper lip	111	B			NN1	NN1	C+	1	0.33333334		
500	horses	hoses	hOrsIz	h5.zIz	idiom firemen play their hoses	113	B			NN2	NN2	E+	0.38	0.06333333		
501	hull	hell	h^l	hEl	coll. hell of a place	114	B	WS had hull-whole		NN1	NN1	I	0.26	0.086666666		
502	humor	human	hjum0r	hjum0n	proverb to err is human	114	B			NN1	NN1	S+	0.31	0.051666666		
